year,id_pais,edvan,pais
2017,VCT,74.3052,St. Vincent and the Grenadines
2018,VCT,74.1279,St. Vincent and the Grenadines
2019,VCT,72.8347,St. Vincent and the Grenadines
2020,VCT,72.1256,St. Vincent and the Grenadines
2000,SUR,65.5077,Suriname
2001,SUR,65.4821,Suriname
2002,SUR,65.5313,Suriname
2003,SUR,65.5963,Suriname
2004,SUR,66.4163,Suriname
2005,SUR,67.0025,Suriname
2006,SUR,67.5713,Suriname
2007,SUR,68.204,Suriname
2008,SUR,68.8162,Suriname
2009,SUR,69.5048,Suriname
2010,SUR,69.8945,Suriname
2011,SUR,69.9141,Suriname
2012,SUR,69.7644,Suriname
2013,SUR,69.6816,Suriname
2014,SUR,69.7824,Suriname
2015,SUR,70.8003,Suriname
2016,SUR,71.5924,Suriname
2017,SUR,72.417,Suriname
2018,SUR,72.5532,Suriname
2019,SUR,72.2423,Suriname
2020,SUR,72.5615,Suriname
2000,TTO,69.1022,Trinidad and Tobago
2001,TTO,69.6462,Trinidad and Tobago
2002,TTO,70.4878,Trinidad and Tobago
2003,TTO,69.729,Trinidad and Tobago
2004,TTO,71.0756,Trinidad and Tobago
2005,TTO,71.3077,Trinidad and Tobago
2006,TTO,71.256,Trinidad and Tobago
2007,TTO,71.6523,Trinidad and Tobago
2008,TTO,71.4697,Trinidad and Tobago
2009,TTO,73.126,Trinidad and Tobago
2010,TTO,72.7254,Trinidad and Tobago
2011,TTO,73.2779,Trinidad and Tobago
2012,TTO,73.7159,Trinidad and Tobago
2013,TTO,73.9623,Trinidad and Tobago
2014,TTO,74.2152,Trinidad and Tobago
2015,TTO,74.5032,Trinidad and Tobago
2016,TTO,74.281,Trinidad and Tobago
2017,TTO,74.2301,Trinidad and Tobago
2018,TTO,73.8018,Trinidad and Tobago
2019,TTO,74.2279,Trinidad and Tobago
2020,TTO,74.4056,Trinidad and Tobago
2000,USA,76.8114,United States of America
2001,USA,76.9285,United States of America
2002,USA,77.0005,United States of America
2003,USA,77.1536,United States of America
2004,USA,77.5581,United States of America
2005,USA,77.5573,United States of America
2006,USA,77.8386,United States of America
2007,USA,78.1004,United States of America
2008,USA,78.1958,United States of America
2009,USA,78.564,United States of America
2010,USA,78.7724,United States of America
2011,USA,78.82,United States of America
2012,USA,78.9441,United States of America
2013,USA,78.9507,United States of America
2014,USA,79.0175,United States of America
2015,USA,78.8694,United States of America
2016,USA,78.8482,United States of America
2017,USA,78.8213,United States of America
2018,USA,78.9896,United States of America
2019,USA,79.138,United States of America
2020,USA,77.4144,United States of America
2000,URY,75.0247,Uruguay
2001,URY,75.2851,Uruguay
2002,URY,75.5399,Uruguay
2003,URY,75.7851,Uruguay
2004,URY,76.0069,Uruguay
2005,URY,76.1935,Uruguay
2006,URY,76.3615,Uruguay
2007,URY,76.4981,Uruguay
2008,URY,76.623,Uruguay
2009,URY,76.7384,Uruguay
2010,URY,76.858,Uruguay
2011,URY,76.9833,Uruguay
2012,URY,77.111,Uruguay
2013,URY,77.24,Uruguay
2014,URY,77.3663,Uruguay
2015,URY,77.4827,Uruguay
2016,URY,77.5707,Uruguay
2017,URY,77.6247,Uruguay
2018,URY,77.611,Uruguay
2019,URY,77.5085,Uruguay
2020,URY,78.4298,Uruguay
2000,VEN,72.4775,Venezuela
2001,VEN,71.2015,Venezuela
2002,VEN,72.6618,Venezuela
2003,VEN,71.9402,Venezuela
2004,VEN,72.514,Venezuela
2005,VEN,72.7825,Venezuela
2006,VEN,72.7418,Venezuela
2007,VEN,73.0583,Venezuela
2008,VEN,72.436,Venezuela
2009,VEN,72.5788,Venezuela
2010,VEN,72.8901,Venezuela
2011,VEN,72.913,Venezuela
2012,VEN,73.0364,Venezuela
2013,VEN,73.1962,Venezuela
2014,VEN,72.8533,Venezuela
2015,VEN,73.0064,Venezuela
2016,VEN,72.0578,Venezuela
2017,VEN,71.943,Venezuela
2018,VEN,71.9788,Venezuela
2019,VEN,72.1614,Venezuela
2020,VEN,71.0949,Venezuela
